Connecting to host 192.168.2.22, port 5201
[  4] local 192.168.1.11 port 56264 connected to 192.168.2.22 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   109 MBytes  111503 KBytes/sec  1368   2.83 KBytes       
[  4]   1.00-2.00   sec  37.5 MBytes  38341 KBytes/sec  438   93.3 KBytes       
[  4]   2.00-3.00   sec   954 KBytes   955 KBytes/sec    0    173 KBytes       
[  4]   3.00-4.00   sec  2.80 MBytes  2864 KBytes/sec    0    320 KBytes       
[  4]   4.00-5.00   sec  6.15 MBytes  6302 KBytes/sec    0    594 KBytes       
[  4]   5.00-6.00   sec  9.99 MBytes  10231 KBytes/sec    0   1.05 MBytes       
[  4]   6.00-7.00   sec  16.2 MBytes  16639 KBytes/sec   61   1.17 MBytes       
[  4]   7.00-8.00   sec  11.2 MBytes  11522 KBytes/sec   36    902 KBytes       
[  4]   8.00-9.00   sec  11.2 MBytes  11520 KBytes/sec    0    957 KBytes       
[  4]   9.00-10.00  sec  8.75 MBytes  8960 KBytes/sec   99    717 KBytes       
[  4]  10.00-11.00  sec  8.75 MBytes  8956 KBytes/sec    0    762 KBytes       
[  4]  11.00-12.00  sec  7.50 MBytes  7684 KBytes/sec   45    301 KBytes       
[  4]  12.00-13.00  sec  3.75 MBytes  3839 KBytes/sec    0    482 KBytes       
[  4]  13.00-14.00  sec  7.50 MBytes  7681 KBytes/sec    0    628 KBytes       
[  4]  14.00-15.00  sec  8.75 MBytes  8955 KBytes/sec    0    748 KBytes       
[  4]  15.00-16.00  sec  8.75 MBytes  8965 KBytes/sec    0    837 KBytes       
[  4]  16.00-17.00  sec  8.75 MBytes  8959 KBytes/sec   37    631 KBytes       
[  4]  17.00-18.00  sec  8.75 MBytes  8957 KBytes/sec    0    635 KBytes       
[  4]  18.00-19.00  sec  7.50 MBytes  7680 KBytes/sec    0    635 KBytes       
[  4]  19.00-20.00  sec  7.50 MBytes  7682 KBytes/sec    0    656 KBytes       
[  4]  20.00-21.00  sec  8.75 MBytes  8962 KBytes/sec    0    676 KBytes       
[  4]  21.00-22.00  sec  5.00 MBytes  5120 KBytes/sec    0    720 KBytes       
[  4]  22.00-23.00  sec  3.75 MBytes  3837 KBytes/sec    4   2.83 KBytes       
[  4]  23.00-24.00  sec  0.00 Bytes  0.00 KBytes/sec   27   8.48 KBytes       
[  4]  24.00-25.00  sec  1.25 MBytes  1281 KBytes/sec    0    280 KBytes       
[  4]  25.00-26.00  sec  3.75 MBytes  3842 KBytes/sec    0    434 KBytes       
[  4]  26.00-27.00  sec  5.00 MBytes  5120 KBytes/sec    0    679 KBytes       
[  4]  27.00-28.00  sec  7.50 MBytes  7679 KBytes/sec    0   1.04 MBytes       
[  4]  28.00-29.00  sec  11.2 MBytes  11516 KBytes/sec    0   1.64 MBytes       
