Connecting to host 192.168.2.22, port 5201
[  4] local 192.168.1.11 port 46752 connected to 192.168.2.22 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  4.73 MBytes  4841 KBytes/sec    3    188 KBytes       
[  4]   1.00-2.00   sec  0.00 Bytes  0.00 KBytes/sec    0    188 KBytes       
[  4]   2.00-3.00   sec  0.00 Bytes  0.00 KBytes/sec    1   1.41 KBytes       
[  4]   3.00-4.00   sec  0.00 Bytes  0.00 KBytes/sec    0   1.41 KBytes       
[  4]   4.00-5.00   sec  0.00 Bytes  0.00 KBytes/sec    0   1.41 KBytes       
[  4]   5.00-6.00   sec  0.00 Bytes  0.00 KBytes/sec    5   2.83 KBytes       
[  4]   6.00-7.00   sec  0.00 Bytes  0.00 KBytes/sec    0   2.83 KBytes       
[  4]   7.00-8.00   sec  0.00 Bytes  0.00 KBytes/sec    0   2.83 KBytes       
[  4]   8.00-9.00   sec  0.00 Bytes  0.00 KBytes/sec    0   2.83 KBytes       
[  4]   9.00-10.00  sec  0.00 Bytes  0.00 KBytes/sec    0   2.83 KBytes       
[  4]  10.00-11.00  sec  0.00 Bytes  0.00 KBytes/sec    0   2.83 KBytes       
[  4]  11.00-12.00  sec  0.00 Bytes  0.00 KBytes/sec    8   2.83 KBytes       
[  4]  12.00-13.00  sec  0.00 Bytes  0.00 KBytes/sec    8   2.83 KBytes       
[  4]  13.00-14.00  sec  0.00 Bytes  0.00 KBytes/sec    0   2.83 KBytes       
[  4]  14.00-15.00  sec  0.00 Bytes  0.00 KBytes/sec    0   2.83 KBytes       
[  4]  15.00-16.00  sec  0.00 Bytes  0.00 KBytes/sec    0   2.83 KBytes       
[  4]  16.00-17.00  sec  0.00 Bytes  0.00 KBytes/sec    0   2.83 KBytes       
[  4]  17.00-18.00  sec  0.00 Bytes  0.00 KBytes/sec    0   2.83 KBytes       
[  4]  18.00-19.00  sec  0.00 Bytes  0.00 KBytes/sec    0   2.83 KBytes       
[  4]  19.00-20.00  sec  0.00 Bytes  0.00 KBytes/sec    0   2.83 KBytes       
[  4]  20.00-21.00  sec  0.00 Bytes  0.00 KBytes/sec    0   2.83 KBytes       
